0,0,0.01,38.0,38.0
1,1,0.01,38.0,38.0
1,2,0.00,38.0,38.0
11,3,0.00,38.0,38.0
11,4,-0.03,38.0,38.0
11,5,-0.05,38.0,38.0
11,6,-0.06,38.0,38.0
11,7,-0.06,37.9,37.9
11,8,-0.07,37.9,37.9
11,9,-0.07,37.9,37.9
11,10,-0.07,37.9,37.9
11,11,-0.07,37.8,37.8
11,12,-0.08,37.8,37.8
11,13,-0.08,37.8,37.8
11,14,-0.08,37.8,37.8
11,15,-0.08,37.8,37.8
11,16,-0.08,37.8,37.8
11,17,-0.08,37.8,37.8
11,18,-0.08,37.8,37.8
Sterilization Not Complete
Error nr: 0
Error description: Aborted by user
Sterilisator,stop time: 29-12-16 15:33:02
