0,0,-0.00,17.6,17.6
1,1,-0.01,17.6,17.6
1,2,-0.01,17.6,17.6
1,3,-0.01,17.6,17.6
1,4,-0.01,17.6,17.6
1,5,-0.01,17.6,17.6
1,6,-0.01,17.6,17.6
1,7,-0.01,17.6,17.6
1,8,-0.01,17.6,17.6
1,9,-0.01,17.6,17.6
1,10,-0.00,17.6,17.6
1,11,-0.01,17.6,17.6
1,12,-0.01,17.6,17.6
11,13,-0.03,17.6,17.6
11,14,-0.04,17.6,17.6
11,15,-0.05,17.6,17.6
11,16,-0.06,17.6,17.6
11,17,-0.06,17.6,17.6
11,18,-0.07,17.6,17.6
11,19,-0.07,17.6,17.6
11,20,-0.07,17.6,17.6
11,21,-0.07,17.6,17.6
11,22,-0.07,17.6,17.6
11,23,-0.07,17.6,17.6
11,24,-0.07,17.6,17.6
11,25,-0.07,17.6,17.6
11,26,-0.07,17.6,17.6
11,27,-0.07,17.6,17.6
12,28,-0.07,17.6,17.6
Sterilization Not Complete
Error nr: 0
Error description: Aborted by user
Sterilisator,stop time: 09-01-17 10:01:46
