Sterilisator,counter: 00042
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 16-01-17 13:30:01
Sterilisator,type: 121
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,111.4,111.4
1,1,-0.01,111.4,111.4
1,2,-0.01,111.3,111.3
1,3,-0.01,111.3,111.3
1,4,-0.01,111.2,111.2
1,5,-0.01,111.2,111.2
1,6,-0.01,111.1,111.1
1,7,-0.01,111.1,111.1
1,8,-0.01,111.0,111.0
1,9,-0.01,111.0,111.0
1,10,-0.01,110.9,110.9
1,11,-0.01,110.9,110.9
1,12,-0.01,110.9,110.9
1,13,-0.01,110.9,110.9
1,14,-0.01,110.8,110.8
2,15,-0.06,110.8,110.8
2,16,-0.11,110.7,110.7
2,17,-0.16,110.7,110.7
2,18,-0.21,110.6,110.6
2,19,-0.25,110.5,110.5
2,20,-0.29,110.4,110.4
2,21,-0.32,110.3,110.3
2,22,-0.35,110.2,110.2
2,23,-0.38,110.0,110.0
2,24,-0.41,109.9,109.9
2,25,-0.44,109.8,109.8
2,26,-0.47,109.7,109.7
2,27,-0.49,109.6,109.6
2,28,-0.51,109.5,109.5
2,29,-0.53,109.4,109.4
2,30,-0.55,109.4,109.4
2,31,-0.57,109.3,109.3
2,32,-0.59,109.2,109.2
2,33,-0.61,109.2,109.2
2,34,-0.62,109.1,109.1
2,35,-0.64,109.1,109.1
2,36,-0.65,109.0,109.0
2,37,-0.67,109.0,109.0
2,38,-0.68,109.0,109.0
2,39,-0.69,108.9,108.9
2,40,-0.70,108.9,108.9
2,41,-0.71,108.9,108.9
2,42,-0.72,108.9,108.9
2,43,-0.73,108.9,108.9
2,44,-0.74,108.9,108.9
2,45,-0.76,108.9,108.9
2,46,-0.76,108.9,108.9
2,47,-0.77,108.9,108.9
2,48,-0.78,108.9,108.9
2,49,-0.78,108.9,108.9
2,50,-0.79,108.9,108.9
2,51,-0.79,108.9,108.9
3,52,-0.80,108.9,108.9
3,53,-0.39,109.0,109.0
3,54,-0.16,109.1,109.1
3,55,-0.09,109.2,109.2
3,56,-0.06,109.5,109.5
3,57,0.51,109.7,109.7
3,58,0.81,110.1,110.1
3,59,0.82,110.8,110.8
4,60,0.64,111.6,111.6
4,61,0.50,112.1,112.1
4,62,0.37,112.2,112.2
4,63,0.24,112.2,112.2
4,64,0.14,112.0,112.0
4,65,0.03,111.8,111.8
4,66,-0.12,111.5,111.5
4,67,-0.25,111.2,111.2
4,68,-0.36,110.9,110.9
4,69,-0.45,110.6,110.6
4,70,-0.53,110.3,110.3
4,71,-0.59,109.9,109.9
4,72,-0.63,109.7,109.7
4,73,-0.67,109.4,109.4
4,74,-0.71,109.1,109.1
4,75,-0.74,109.0,109.0
4,76,-0.76,108.8,108.8
4,77,-0.76,108.7,108.7
4,78,-0.79,108.6,108.6
5,79,-0.73,108.6,108.6
5,80,0.25,108.6,108.6
5,81,0.23,108.8,108.8
5,82,0.20,109.2,109.2
5,83,0.18,109.5,109.5
5,84,0.64,109.8,109.8
5,85,0.77,110.5,110.5
5,86,0.76,111.6,111.6
6,87,0.66,112.7,112.7
6,88,0.55,113.5,113.5
6,89,0.42,113.7,113.7
6,90,0.29,113.5,113.5
6,91,0.18,113.1,113.1
6,92,0.07,112.7,112.7
6,93,-0.09,112.2,112.2
6,94,-0.20,111.8,111.8
