Sterilisator,counter: 00006
Sterilisator,model: ST01-PL
Sterilisator,serial: 2017-0023
Sterilisator,firmware: 16.5
Sterilisator,start time: 27-03-17 09:28:30
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
7,0,1.14,122.8,122.8
7,1,1.12,123.0,123.0
7,2,1.12,123.3,123.3
7,3,1.12,123.5,123.5
7,4,1.21,123.7,123.7
7,5,1.21,123.9,123.9
7,6,1.19,124.2,124.2
7,7,1.19,124.4,124.4
7,8,1.25,124.6,124.6
7,9,1.29,124.8,124.8
7,10,1.27,125.1,125.1
7,11,1.26,125.3,125.3
7,12,1.26,125.5,125.5
7,13,1.34,125.7,125.7
7,14,1.34,126.0,126.0
7,15,1.33,126.2,126.2
7,16,1.32,126.4,126.4
7,17,1.37,126.6,126.6
7,18,1.44,126.8,126.8
7,19,1.41,127.1,127.1
7,20,1.39,127.3,127.3
7,21,1.39,127.5,127.5
7,22,1.48,127.7,127.7
7,23,1.48,127.9,127.9
7,24,1.47,128.2,128.2
7,25,1.46,128.4,128.4
7,26,1.50,128.6,128.6
7,27,1.58,128.8,128.8
7,28,1.54,129.0,129.0
7,29,1.53,129.2,129.2
7,30,1.53,129.4,129.4
7,31,1.61,129.6,129.6
7,32,1.61,129.8,129.8
7,33,1.60,130.0,130.0
7,34,1.59,130.2,130.2
7,35,1.62,130.4,130.4
7,36,1.73,130.6,130.6
7,37,1.67,130.8,130.8
7,38,1.67,131.0,131.0
7,39,1.66,131.2,131.2
7,40,1.75,131.4,131.4
7,41,1.76,131.6,131.6
7,42,1.75,131.8,131.8
7,43,1.74,132.0,132.0
7,44,1.75,132.2,132.2
7,45,1.87,132.4,132.4
7,46,1.83,132.6,132.6
7,47,1.81,132.8,132.8
7,48,1.81,133.0,133.0
7,49,1.89,133.2,133.2
7,50,1.90,133.4,133.4
7,51,1.89,133.6,133.6
7,52,1.87,133.8,133.8
7,53,1.88,133.9,133.9
7,54,1.99,134.1,134.1
7,55,1.96,134.3,134.3
7,56,1.94,134.5,134.5
7,57,1.93,134.7,134.7
7,58,2.01,134.8,134.8
7,59,2.03,135.0,135.0
7,60,2.00,135.2,135.2
7,61,1.99,135.4,135.4
7,62,1.99,135.5,135.5
7,63,2.05,135.6,135.6
7,64,2.08,135.8,135.8
7,65,2.05,136.0,136.0
7,66,2.08,136.1,136.1
7,67,2.10,136.3,136.3
7,68,2.08,136.4,136.4
8,69,2.10,136.5,134.7
8,70,2.09,136.7,134.6
8,71,2.10,136.8,134.8
8,72,2.12,136.9,135.0
8,73,2.10,137.0,134.7
8,74,2.10,137.0,134.8
8,75,2.11,137.1,134.9
8,76,2.10,137.2,134.8
8,77,2.10,137.2,134.8
8,78,2.11,137.3,134.9
8,79,2.10,137.3,134.8
8,80,2.10,137.3,134.8
8,81,2.10,137.4,134.8
8,82,2.10,137.4,134.8
8,83,2.10,137.4,134.8
8,84,2.10,137.4,134.7
8,85,2.10,137.4,134.8
8,86,2.11,137.5,134.9
8,87,2.10,137.5,134.8
8,88,2.10,137.5,134.8
8,89,2.11,137.5,134.9
8,90,2.10,137.5,134.8
8,91,2.11,137.5,134.8
8,92,2.11,137.6,134.9
8,93,2.10,137.6,134.8
8,94,2.11,137.6,134.8
8,95,2.11,137.6,134.9
8,96,2.10,137.6,134.8
.66,116.6,116.6
4,95,-0.70,116.2,116.2
4,96,-0.71,115.9,115.9
4,97,-0.72,115.6,115.6
4,98,-0.74,115.3,115.3
4,99,-0.76,115.1,115.1
4,100,-0.78,114.9,114.9
4,101,-0.78,114.8,114.8
4,102,-0.78,114.7,114.7
4,103,-0.78,114.6,114.6
4,104,-0.79,114.5,114.5
4,105,-0.79,114.4,114.4
4,106,-0.80,114.4,114.4
5,107,-0.45,114.4,114.4
5,108,-0.13,114.5,114.5
5,109,-0.15,114.6,114.6
5,110,-0.16,114.8,114.8
5,111,-0.08,115.0,115.0
5,112,0.51,115.3,115.3
5,113,0.50,115.5,115.5
5,114,0.45,115.9,115.9
5,115,0.42,116.2,116.2
5,116,0.68,116.5,116.5
5,117,0.75,116.9,116.9
5,118,0.73,117.2,117.2
5,119,0.71,117.5,117.5
5,120,0.73,117.8,117.8
5,121,0.85,118.1,118.1
5,122,0.84,118.4,118.4
5,123,0.84,118.7,118.7
5,124,0.83,119.0,119.0
5,125,0.88,119.2,119.2
5,126,0.93,119.4,119.4
5,127,0.91,119.7,119.7
5,128,0.91,120.0,120.0
5,129,0.90,120.2,120.2
5,130,0.99,120.4,120.4
5,131,0.98,120.7,120.7
5,132,0.98,120.9,120.9
6,133,0.80,121.1,121.1
6,134,0.77,121.3,121.3
6,135,0.73,121.3,121.3
6,136,0.68,121.3,121.3
6,137,0.63,121.2,121.2
6,138,0.55,121.1,121.1
6,139,0.47,121.0,121.0
6,140,0.39,120.8,120.8
6,141,0.31,120.6,120.6
6,142,0.23,120.4,120.4
6,143,0.10,120.2,120.2
6,144,-0.01,119.9,119.9
6,145,-0.14,119.6,119.6
6,146,-0.26,119.2,119.2
6,147,-0.36,118.9,118.9
6,148,-0.44,118.5,118.5
6,149,-0.50,118.1,118.1
6,150,-0.56,117.7,117.7
6,151,-0.61,117.3,117.3
6,152,-0.66,117.0,117.0
6,153,-0.69,116.6,116.6
6,154,-0.72,116.3,116.3
6,155,-0.74,116.0,116.0
6,156,-0.76,115.7,115.7
6,157,-0.76,115.5,115.5
6,158,-0.75,115.3,115.3
6,159,-0.76,115.1,115.1
6,160,-0.77,115.0,115.0
6,161,-0.77,114.9,114.9
6,162,-0.77,114.9,114.9
6,163,-0.78,114.8,114.8
6,164,-0.78,114.8,114.8
6,165,-0.79,114.8,114.8
6,166,-0.79,114.8,114.8
6,167,-0.79,114.8,114.8
6,168,-0.79,114.8,114.8
6,169,-0.80,114.8,114.8
7,170,-0.64,114.8,114.8
7,171,-0.13,114.9,114.9
7,172,-0.13,115.1,115.1
7,173,-0.14,115.3,115.3
7,174,-0.14,115.5,115.5
7,175,0.38,115.7,115.7
7,176,0.52,116.0,116.0
7,177,0.48,116.3,116.3
7,178,0.45,116.7,116.7
7,179,0.61,117.0,117.0
7,180,0.78,117.3,117.3
7,181,0.75,117.6,117.6
7,182,0.73,117.9,117.9
7,183,0.72,118.2,118.2
7,184,0.84,118.5,118.5
7,185,0.84,118.8,118.8
7,186,0.84,119.0,119.0
7,187,0.83,119.3,119.3
7,188,0.86,119.5,119.5
7,189,0.93,119.7,119.7
