Sterilisator,counter: 00002
Sterilisator,model: ST01-PL
Sterilisator,serial: 2017-0023
Sterilisator,firmware: 16.5
Sterilisator,start time: 27-03-17 08:47:08
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,-0.01,17.5,17.5
0,1,-0.00,17.5,17.5
1,2,-0.06,17.5,17.5
1,3,-0.05,17.5,17.5
1,4,-0.05,17.5,17.5
1,5,-0.05,17.5,17.5
1,6,-0.05,17.5,17.5
1,7,-0.05,17.5,17.5
1,8,-0.05,17.5,17.5
1,9,-0.05,17.5,17.5
1,10,-0.04,17.5,17.5
1,11,-0.04,17.5,17.5
1,12,-0.04,17.5,17.5
1,13,-0.04,17.5,17.5
1,14,-0.04,17.5,17.5
1,15,-0.04,17.5,17.5
1,16,-0.04,17.5,17.5
1,17,-0.04,17.5,17.5
1,18,-0.04,17.5,17.5
1,19,-0.03,17.5,17.5
1,20,-0.03,17.5,17.5
1,21,-0.03,17.5,17.5
1,22,-0.04,17.5,17.5
1,23,-0.03,17.6,17.6
1,24,-0.03,17.6,17.6
1,25,-0.03,17.6,17.6
1,26,-0.03,17.7,17.7
1,27,-0.03,17.7,17.7
1,28,-0.03,17.7,17.7
1,29,-0.03,17.8,17.8
1,30,-0.03,17.8,17.8
1,31,-0.02,17.9,17.9
1,32,-0.02,17.9,17.9
1,33,-0.02,18.0,18.0
1,34,-0.02,18.1,18.1
1,35,-0.02,18.1,18.1
1,36,-0.02,18.2,18.2
1,37,-0.02,18.3,18.3
1,38,-0.02,18.4,18.4
1,39,-0.02,18.5,18.5
1,40,-0.02,18.6,18.6
1,41,-0.02,18.6,18.6
1,42,-0.02,18.7,18.7
1,43,-0.01,18.8,18.8
1,44,-0.01,19.0,19.0
1,45,-0.01,19.1,19.1
1,46,-0.01,19.2,19.2
1,47,-0.01,19.3,19.3
1,48,-0.01,19.4,19.4
1,49,-0.01,19.5,19.5
1,50,-0.01,19.7,19.7
1,51,-0.01,19.8,19.8
1,52,-0.01,19.9,19.9
1,53,-0.01,20.0,20.0
1,54,-0.01,20.2,20.2
1,55,-0.01,20.3,20.3
1,56,-0.00,20.5,20.5
1,57,-0.00,20.6,20.6
1,58,-0.00,20.8,20.8
1,59,0.00,20.9,20.9
1,60,0.00,21.1,21.1
1,61,0.00,21.2,21.2
1,62,0.00,21.4,21.4
