Sterilisator,counter: 00043
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 17-01-17 08:12:01
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.01,24.2,24.2
0,1,0.00,24.2,24.2
1,2,-0.01,24.2,24.2
1,3,-0.01,24.2,24.2
1,4,-0.01,24.2,24.2
1,5,-0.01,24.2,24.2
1,6,-0.01,24.2,24.2
1,7,-0.01,24.2,24.2
1,8,-0.01,24.2,24.2
1,9,-0.01,24.2,24.2
1,10,-0.01,24.2,24.2
1,11,-0.01,24.2,24.2
1,12,-0.00,24.2,24.2
1,13,-0.00,24.2,24.2
1,14,-0.00,24.2,24.2
1,15,-0.00,24.2,24.2
1,16,-0.00,24.2,24.2
1,17,-0.00,24.2,24.2
1,18,-0.00,24.2,24.2
1,19,0.00,24.2,24.2
1,20,0.00,24.2,24.2
1,21,0.00,24.2,24.2
1,22,0.00,24.2,24.2
1,23,0.01,24.3,24.3
1,24,0.01,24.3,24.3
1,25,0.00,24.3,24.3
1,26,0.00,24.3,24.3
1,27,0.00,24.3,24.3
1,28,0.00,24.3,24.3
1,29,0.01,24.4,24.4
1,30,0.01,24.4,24.4
1,31,0.01,24.4,24.4
1,32,0.01,24.5,24.5
1,33,0.01,24.5,24.5
1,34,0.01,24.5,24.5
1,35,0.01,24.6,24.6
1,36,0.01,24.6,24.6
1,37,0.01,24.6,24.6
1,38,0.01,24.7,24.7
1,39,0.01,24.7,24.7
1,40,0.01,24.8,24.8
1,41,0.01,24.8,24.8
1,42,0.02,24.9,24.9
1,43,0.02,24.9,24.9
1,44,0.01,25.0,25.0
1,45,0.01,25.0,25.0
1,46,0.01,25.1,25.1
1,47,0.01,25.1,25.1
1,48,0.02,25.2,25.2
1,49,0.02,25.3,25.3
1,50,0.02,25.3,25.3
1,51,0.02,25.4,25.4
1,52,0.01,25.5,25.5
1,53,0.01,25.6,25.6
1,54,0.01,25.6,25.6
1,55,0.02,25.7,25.7
1,56,0.01,25.8,25.8
1,57,0.01,25.9,25.9
1,58,0.02,26.0,26.0
1,59,0.02,26.1,26.1
1,60,0.02,26.2,26.2
1,61,0.02,26.3,26.3
1,62,0.02,26.4,26.4
