Sterilisator,counter: 00056
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 17-01-17 12:30:52
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,95.5,95.5
0,1,0.00,95.5,95.5
1,2,-0.02,95.5,95.5
1,3,-0.02,95.4,95.4
1,4,-0.02,95.4,95.4
1,5,-0.02,95.3,95.3
1,6,-0.02,95.3,95.3
1,7,-0.01,95.3,95.3
1,8,-0.02,95.2,95.2
1,9,-0.02,95.2,95.2
1,10,-0.02,95.2,95.2
1,11,-0.01,95.1,95.1
1,12,-0.01,95.1,95.1
1,13,-0.01,95.1,95.1
1,14,-0.01,95.1,95.1
1,15,-0.01,95.0,95.0
1,16,-0.01,95.0,95.0
1,17,-0.01,95.0,95.0
1,18,-0.01,95.0,95.0
1,19,-0.01,94.9,94.9
1,20,-0.01,94.9,94.9
1,21,-0.01,94.9,94.9
1,22,-0.01,94.9,94.9
1,23,-0.01,94.9,94.9
1,24,-0.01,94.9,94.9
1,25,-0.01,94.8,94.8
1,26,-0.01,94.8,94.8
1,27,-0.01,94.8,94.8
1,28,-0.01,94.8,94.8
1,29,-0.00,94.8,94.8
1,30,-0.00,94.8,94.8
1,31,-0.01,94.8,94.8
1,32,-0.00,94.8,94.8
1,33,-0.00,94.8,94.8
1,34,-0.00,94.8,94.8
1,35,-0.00,94.8,94.8
1,36,-0.00,94.8,94.8
1,37,-0.00,94.9,94.9
1,38,-0.00,94.9,94.9
1,39,-0.00,94.9,94.9
1,40,-0.00,94.9,94.9
1,41,-0.00,94.9,94.9
1,42,-0.00,95.0,95.0
1,43,0.00,95.0,95.0
1,44,0.00,95.0,95.0
1,45,0.00,95.1,95.1
1,46,0.00,95.1,95.1
1,47,0.01,95.1,95.1
1,48,0.00,95.2,95.2
1,49,0.00,95.2,95.2
1,50,0.01,95.3,95.3
1,51,0.01,95.3,95.3
1,52,0.01,95.3,95.3
1,53,0.01,95.4,95.4
1,54,0.01,95.5,95.5
1,55,0.01,95.5,95.5
1,56,0.01,95.6,95.6
1,57,0.01,95.6,95.6
1,58,0.01,95.7,95.7
1,59,0.01,95.8,95.8
1,60,0.01,95.9,95.9
1,61,0.01,95.9,95.9
1,62,0.01,96.0,96.0
