Sterilisator,counter: 00046
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 17-01-17 09:55:02
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,-0.00,115.0,115.0
1,1,-0.01,115.0,115.0
1,2,-0.01,114.9,114.9
1,3,-0.01,114.9,114.9
1,4,-0.01,114.8,114.8
1,5,-0.01,114.7,114.7
1,6,-0.01,114.7,114.7
1,7,-0.01,114.6,114.6
1,8,-0.01,114.5,114.5
1,9,-0.01,114.5,114.5
1,10,-0.01,114.4,114.4
1,11,-0.01,114.4,114.4
1,12,-0.01,114.3,114.3
1,13,-0.01,114.2,114.2
1,14,-0.01,114.2,114.2
1,15,-0.01,114.1,114.1
1,16,-0.01,114.1,114.1
1,17,-0.00,114.0,114.0
1,18,-0.00,114.0,114.0
1,19,-0.01,113.9,113.9
1,20,-0.01,113.9,113.9
1,21,-0.00,113.9,113.9
1,22,-0.01,113.8,113.8
1,23,-0.00,113.8,113.8
1,24,-0.00,113.8,113.8
1,25,-0.00,113.7,113.7
1,26,-0.00,113.7,113.7
1,27,-0.00,113.7,113.7
1,28,-0.00,113.7,113.7
1,29,-0.00,113.7,113.7
1,30,0.00,113.6,113.6
1,31,-0.00,113.6,113.6
1,32,0.00,113.6,113.6
1,33,0.00,113.6,113.6
1,34,0.00,113.6,113.6
2,35,-0.04,113.6,113.6
2,36,-0.10,113.6,113.6
2,37,-0.15,113.6,113.6
2,38,-0.19,113.5,113.5
2,39,-0.23,113.4,113.4
2,40,-0.26,113.4,113.4
2,41,-0.30,113.3,113.3
2,42,-0.33,113.2,113.2
2,43,-0.36,113.1,113.1
2,44,-0.39,113.0,113.0
2,45,-0.42,112.9,112.9
2,46,-0.44,112.9,112.9
2,47,-0.43,112.8,112.8
2,48,-0.46,112.8,112.8
2,49,-0.48,112.8,112.8
2,50,-0.50,112.7,112.7
2,51,-0.52,112.7,112.7
2,52,-0.54,112.7,112.7
2,53,-0.56,112.7,112.7
2,54,-0.58,112.7,112.7
2,55,-0.60,112.7,112.7
2,56,-0.61,112.7,112.7
2,57,-0.63,112.7,112.7
2,58,-0.64,112.7,112.7
2,59,-0.65,112.8,112.8
2,60,-0.66,112.8,112.8
2,61,-0.68,112.8,112.8
2,62,-0.69,112.8,112.8
2,63,-0.70,112.8,112.8
2,64,-0.71,112.9,112.9
2,65,-0.72,112.9,112.9
2,66,-0.73,112.9,112.9
2,67,-0.74,113.0,113.0
2,68,-0.74,113.0,113.0
2,69,-0.75,113.1,113.1
2,70,-0.76,113.1,113.1
2,71,-0.76,113.2,113.2
2,72,-0.77,113.2,113.2
2,73,-0.78,113.3,113.3
2,74,-0.78,113.3,113.3
2,75,-0.78,113.4,113.4
2,76,-0.79,113.5,113.5
2,77,-0.79,113.5,113.5
2,78,-0.79,113.6,113.6
3,79,-0.79,113.7,113.7
3,80,-0.36,113.8,113.8
3,81,-0.16,113.9,113.9
3,82,-0.08,114.1,114.1
3,83,-0.07,114.4,114.4
3,84,0.58,114.7,114.7
3,85,0.86,115.2,115.2
3,86,0.85,115.6,115.6
3,87,0.86,116.1,116.1
3,88,0.94,116.6,116.6
3,89,1.04,117.1,117.1
3,90,1.05,117.6,117.6
4,91,0.75,118.0,118.0
4,92,0.57,118.2,118.2
4,93,0.40,118.2,118.2
4,94,0.28,118.1,118.1
4,95,0.16,117.9,117.9
4,96,0.08,117.7,117.7
4,97,-0.06,117.4,117.4
4,98,-0.19,117.2,117.2
4,99,-0.30,117.0,117.0
4,100,-0.41,116.7,116.7
4,101,-0.48,116.2,116.2
4,102,-0.54,116.0,116.0
4,103,-0.59,115.8,115.8
4,104,-0.63,115.7,115.7
4,105,-0.66,115.5,115.5
4,106,-0.69,115.4,115.4
4,107,-0.70,115.3,115.3
4,108,-0.74,115.3,115.3
4,109,-0.72,115.3,115.3
4,110,-0.74,115.3,115.3
4,111,-0.77,115.3,115.3
4,112,-0.78,115.4,115.4
4,113,-0.77,115.5,115.5
4,114,-0.75,115.6,115.6
4,115,-0.76,115.7,115.7
4,116,-0.77,115.7,115.7
4,117,-0.78,115.8,115.8
4,118,-0.78,115.8,115.8
4,119,-0.78,115.9,115.9
4,120,-0.78,116.1,116.1
4,121,-0.78,116.3,116.3
4,122,-0.78,116.5,116.5
4,123,-0.79,116.7,116.7
4,124,-0.79,116.8,116.8
4,125,-0.79,117.0,117.0
5,126,-0.70,117.1,117.1
5,127,-0.05,117.2,117.2
5,128,-0.09,117.5,117.5
5,129,-0.13,117.8,117.8
5,130,-0.14,118.1,118.1
5,131,0.71,118.4,118.4
5,132,0.78,118.7,118.7
5,133,0.72,119.2,119.2
5,134,0.68,119.6,119.6
5,135,0.91,120.0,120.0
5,136,1.04,120.4,120.4
5,137,1.02,120.9,120.9
6,138,0.82,121.3,121.3
6,139,0.61,121.6,121.6
6,140,0.40,121.7,121.7
6,141,0.26,121.7,121.7
6,142,0.13,121.6,121.6
6,143,0.01,121.4,121.4
6,144,-0.13,121.2,121.2
6,145,-0.26,120.9,120.9
6,146,-0.34,120.6,120.6
6,147,-0.39,120.4,120.4
6,148,-0.47,120.1,120.1
6,149,-0.52,119.8,119.8
6,150,-0.57,119.6,119.6
6,151,-0.60,119.4,119.4
6,152,-0.63,119.3,119.3
6,153,-0.66,119.1,119.1
6,154,-0.69,119.1,119.1
6,155,-0.69,119.0,119.0
6,156,-0.71,118.9,118.9
6,157,-0.73,118.9,118.9
6,158,-0.74,118.9,118.9
6,159,-0.75,119.0,119.0
6,160,-0.76,119.0,119.0
6,161,-0.76,119.0,119.0
6,162,-0.77,119.1,119.1
6,163,-0.77,119.2,119.2
6,164,-0.78,119.2,119.2
6,165,-0.78,119.3,119.3
6,166,-0.78,119.4,119.4
6,167,-0.79,119.4,119.4
6,168,-0.79,119.5,119.5
6,169,-0.79,119.6,119.6
6,170,-0.79,119.6,119.6
6,171,-0.79,119.7,119.7
6,172,-0.79,119.8,119.8
7,173,-0.64,119.8,119.8
7,174,0.19,120.0,120.0
7,175,0.11,120.2,120.2
7,176,0.07,120.5,120.5
7,177,0.04,120.9,120.9
7,178,0.84,121.1,121.1
7,179,0.95,121.5,121.5
7,180,0.90,121.9,121.9
7,181,0.86,122.3,122.3
7,182,1.05,122.7,122.7
7,183,1.35,123.2,123.2
7,184,1.28,123.7,123.7
7,185,1.27,124.3,124.3
7,186,1.25,124.7,124.7
7,187,1.53,125.1,125.1
7,188,1.58,125.7,125.7
7,189,1.54,126.4,126.4
7,190,1.52,126.9,126.9
7,191,1.57,127.4,127.4
7,192,1.82,127.9,127.9
7,193,1.77,128.5,128.5
7,194,1.76,129.1,129.1
7,195,1.74,129.7,129.7
7,196,1.87,130.1,130.1
7,197,1.97,130.6,130.6
7,198,1.95,131.1,131.1
7,199,1.93,131.7,131.7
7,200,1.93,132.1,132.1
7,201,2.06,132.4,132.4
7,202,2.09,132.9,132.9
7,203,2.12,133.3,133.3
7,204,2.12,133.8,133.8
7,205,2.10,134.1,134.1
7,206,2.13,134.4,134.4
7,207,2.12,134.7,134.7
7,208,2.11,134.9,134.9
7,209,2.11,135.0,135.0
7,210,2.11,135.1,135.1
7,211,2.13,135.2,135.2
7,212,2.11,135.2,135.2
8,213,2.11,135.3,134.8
8,214,2.10,135.3,134.7
8,215,2.11,135.3,134.9
8,216,2.10,135.3,134.8
8,217,2.10,135.3,134.8
8,218,2.10,135.3,134.8
8,219,2.10,135.3,134.8
8,220,2.12,135.3,135.0
8,221,2.10,135.3,134.8
8,222,2.11,135.3,134.9
8,223,2.11,135.3,134.9
8,224,2.11,135.3,134.9
8,225,2.11,135.3,134.8
8,226,2.11,135.4,134.9
8,227,2.10,135.4,134.8
8,228,2.11,135.4,134.8
8,229,2.11,135.4,134.9
8,230,2.11,135.4,134.9
8,231,2.12,135.4,135.0
8,232,2.11,135.4,134.9
