Sterilisator,counter: 00055
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 17-01-17 12:01:09
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,116.7,116.7
1,1,-0.01,116.7,116.7
1,2,-0.01,116.6,116.6
1,3,-0.01,116.5,116.5
1,4,-0.01,116.3,116.3
1,5,-0.01,116.2,116.2
1,6,-0.01,116.1,116.1
1,7,-0.01,116.0,116.0
1,8,-0.01,116.0,116.0
1,9,-0.01,115.9,115.9
1,10,-0.01,115.9,115.9
1,11,-0.01,115.9,115.9
1,12,-0.01,115.8,115.8
1,13,-0.00,115.8,115.8
1,14,-0.01,115.8,115.8
1,15,-0.00,115.8,115.8
1,16,-0.01,115.8,115.8
1,17,-0.01,115.8,115.8
1,18,-0.00,115.8,115.8
1,19,-0.00,115.8,115.8
1,20,-0.01,115.8,115.8
1,21,-0.00,115.8,115.8
1,22,-0.00,115.8,115.8
1,23,-0.00,115.8,115.8
1,24,-0.00,115.8,115.8
1,25,0.00,115.7,115.7
1,26,0.00,115.7,115.7
1,27,0.00,115.7,115.7
1,28,0.00,115.7,115.7
1,29,0.00,115.7,115.7
1,30,0.00,115.7,115.7
1,31,0.00,115.7,115.7
2,32,-0.03,115.7,115.7
2,33,-0.08,115.7,115.7
2,34,-0.14,115.7,115.7
2,35,-0.18,115.7,115.7
2,36,-0.22,115.6,115.6
2,37,-0.26,115.6,115.6
2,38,-0.30,115.5,115.5
2,39,-0.33,115.4,115.4
2,40,-0.36,115.3,115.3
2,41,-0.39,115.2,115.2
2,42,-0.41,115.1,115.1
2,43,-0.44,115.0,115.0
2,44,-0.47,115.0,115.0
2,45,-0.49,114.9,114.9
2,46,-0.51,114.9,114.9
2,47,-0.53,114.8,114.8
2,48,-0.55,114.8,114.8
2,49,-0.56,114.7,114.7
2,50,-0.58,114.7,114.7
2,51,-0.60,114.7,114.7
2,52,-0.61,114.7,114.7
2,53,-0.62,114.7,114.7
2,54,-0.64,114.7,114.7
2,55,-0.65,114.7,114.7
2,56,-0.66,114.7,114.7
2,57,-0.67,114.8,114.8
2,58,-0.68,114.8,114.8
2,59,-0.69,114.8,114.8
2,60,-0.70,114.8,114.8
2,61,-0.71,114.9,114.9
2,62,-0.71,114.9,114.9
2,63,-0.72,115.0,115.0
2,64,-0.73,115.0,115.0
2,65,-0.73,115.0,115.0
2,66,-0.74,115.1,115.1
2,67,-0.75,115.1,115.1
2,68,-0.75,115.2,115.2
2,69,-0.76,115.3,115.3
2,70,-0.76,115.3,115.3
2,71,-0.76,115.4,115.4
2,72,-0.77,115.4,115.4
