Sterilisator,counter: 00034
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 30-12-16 12:03:32
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,13.2,13.2
1,1,0.00,13.2,13.2
1,2,-0.01,13.2,13.2
1,3,-0.01,13.2,13.2
1,4,-0.01,13.2,13.2
1,5,-0.01,13.2,13.2
1,6,-0.01,13.2,13.2
1,7,-0.01,13.2,13.2
1,8,-0.01,13.2,13.2
1,9,-0.01,13.2,13.2
1,10,-0.01,13.2,13.2
1,11,-0.00,13.2,13.2
1,12,-0.01,13.2,13.2
1,13,-0.01,13.2,13.2
1,14,-0.00,13.2,13.2
1,15,-0.00,13.3,13.3
1,16,-0.00,13.3,13.3
1,17,-0.00,13.3,13.3
1,18,-0.00,13.3,13.3
1,19,0.00,13.3,13.3
1,20,0.00,13.3,13.3
1,21,0.01,13.3,13.3
1,22,0.00,13.3,13.3
1,23,0.00,13.3,13.3
1,24,0.00,13.3,13.3
1,25,0.00,13.4,13.4
1,26,0.01,13.4,13.4
1,27,0.01,13.4,13.4
1,28,0.01,13.4,13.4
1,29,0.01,13.4,13.4
1,30,0.01,13.5,13.5
1,31,0.01,13.5,13.5
1,32,0.01,13.5,13.5
1,33,0.01,13.5,13.5
1,34,0.01,13.6,13.6
1,35,0.01,13.6,13.6
1,36,0.01,13.6,13.6
1,37,0.01,13.7,13.7
1,38,0.01,13.7,13.7
1,39,0.01,13.7,13.7
1,40,0.01,13.8,13.8
1,41,0.01,13.8,13.8
1,42,0.01,13.9,13.9
1,43,0.01,13.9,13.9
1,44,0.02,14.0,14.0
1,45,0.02,14.0,14.0
1,46,0.02,14.1,14.1
1,47,0.02,14.1,14.1
1,48,0.02,14.2,14.2
1,49,0.02,14.2,14.2
1,50,0.02,14.3,14.3
1,51,0.02,14.3,14.3
1,52,0.02,14.4,14.4
1,53,0.02,14.5,14.5
1,54,0.02,14.5,14.5
1,55,0.02,14.6,14.6
1,56,0.02,14.7,14.7
1,57,0.02,14.7,14.7
1,58,0.02,14.8,14.8
1,59,0.02,14.9,14.9
1,60,0.02,15.0,15.0
1,61,0.02,15.0,15.0
1,62,0.02,15.1,15.1
1,63,0.02,15.2,15.2
1,64,0.02,15.3,15.3
1,65,0.02,15.4,15.4
1,66,0.02,15.5,15.5
1,67,0.02,15.6,15.6
1,68,0.02,15.7,15.7
1,69,0.02,15.8,15.8
1,70,0.02,15.9,15.9
1,71,0.02,16.0,16.0
1,72,0.02,16.1,16.1
1,73,0.02,16.2,16.2
1,74,0.02,16.3,16.3
1,75,0.02,16.4,16.4
1,76,0.02,16.6,16.6
1,77,0.02,16.7,16.7
1,78,0.02,16.8,16.8
1,79,0.02,16.9,16.9
1,80,0.02,17.1,17.1
1,81,0.02,17.2,17.2
1,82,0.02,17.3,17.3
1,83,0.02,17.4,17.4
1,84,0.02,17.6,17.6
1,85,0.02,17.7,17.7
1,86,0.02,17.9,17.9
1,87,0.02,18.0,18.0
1,88,0.02,18.1,18.1
1,89,0.02,18.3,18.3
1,90,0.02,18.4,18.4
1,91,0.02,18.6,18.6
1,92,0.02,18.7,18.7
1,93,0.02,18.9,18.9
1,94,0.02,19.0,19.0
1,95,0.02,19.2,19.2
1,96,0.02,19.4,19.4
1,97,0.02,19.5,19.5
1,98,0.02,19.7,19.7
1,99,0.02,19.8,19.8
1,100,0.02,20.0,20.0
1,101,0.02,20.2,20.2
1,102,0.02,20.4,20.4
1,103,0.02,20.5,20.5
1,104,0.02,20.7,20.7
1,105,0.02,20.9,20.9
1,106,0.02,21.1,21.1
1,107,0.02,21.3,21.3
1,108,0.02,21.5,21.5
1,109,0.02,21.6,21.6
1,110,0.02,21.8,21.8
1,111,0.02,22.0,22.0
1,112,0.02,22.2,22.2
1,113,0.02,22.4,22.4
1,114,0.02,22.6,22.6
1,115,0.02,22.9,22.9
1,116,0.02,23.1,23.1
1,117,0.02,23.3,23.3
1,118,0.02,23.5,23.5
1,119,0.02,23.7,23.7
1,120,0.02,23.9,23.9
1,121,0.02,24.1,24.1
1,122,0.02,24.4,24.4
1,123,0.02,24.6,24.6
1,124,0.02,24.8,24.8
1,125,0.02,25.0,25.0
1,126,0.02,25.3,25.3
1,127,0.02,25.5,25.5
1,128,0.02,25.8,25.8
1,129,0.02,26.0,26.0
1,130,0.02,26.3,26.3
1,131,0.02,26.5,26.5
1,132,0.01,26.8,26.8
1,133,0.02,27.0,27.0
1,134,0.02,27.3,27.3
1,135,0.02,27.5,27.5
1,136,0.02,27.8,27.8
1,137,0.02,28.0,28.0
1,138,0.02,28.3,28.3
1,139,0.02,28.6,28.6
1,140,0.02,28.8,28.8
1,141,0.02,29.1,29.1
1,142,0.02,29.4,29.4
1,143,0.02,29.7,29.7
1,144,0.02,29.9,29.9
1,145,0.02,30.2,30.2
1,146,0.02,30.5,30.5
1,147,0.02,30.7,30.7
1,148,0.02,31.0,31.0
1,149,0.02,31.3,31.3
1,150,0.02,31.6,31.6
1,151,0.02,31.9,31.9
1,152,0.02,32.2,32.2
