Sterilisator,counter: 00069
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 24-01-17 11:15:18
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,-0.00,22.5,22.5
1,1,-0.01,22.5,22.5
1,2,-0.01,22.5,22.5
1,3,-0.01,22.5,22.5
1,4,-0.01,22.5,22.5
1,5,-0.01,22.5,22.5
1,6,-0.01,22.5,22.5
1,7,-0.01,22.5,22.5
1,8,-0.01,22.5,22.5
1,9,-0.01,22.5,22.5
1,10,-0.01,22.5,22.5
1,11,-0.01,22.5,22.5
1,12,-0.01,22.5,22.5
1,13,-0.00,22.5,22.5
1,14,-0.01,22.5,22.5
1,15,-0.00,22.5,22.5
1,16,-0.00,22.5,22.5
1,17,-0.00,22.5,22.5
1,18,-0.00,22.5,22.5
1,19,-0.00,22.5,22.5
1,20,-0.00,22.5,22.5
1,21,-0.00,22.5,22.5
1,22,-0.00,22.5,22.5
1,23,0.00,22.5,22.5
1,24,0.00,22.6,22.6
1,25,0.01,22.6,22.6
1,26,0.01,22.6,22.6
1,27,0.01,22.6,22.6
1,28,0.00,22.6,22.6
1,29,0.01,22.7,22.7
1,30,0.01,22.7,22.7
1,31,0.01,22.7,22.7
1,32,0.01,22.7,22.7
1,33,0.01,22.8,22.8
1,34,0.01,22.8,22.8
1,35,0.01,22.8,22.8
1,36,0.01,22.9,22.9
1,37,0.01,22.9,22.9
1,38,0.01,22.9,22.9
1,39,0.01,23.0,23.0
1,40,0.01,23.0,23.0
1,41,0.01,23.1,23.1
1,42,0.01,23.1,23.1
1,43,0.01,23.2,23.2
1,44,0.02,23.2,23.2
1,45,0.02,23.3,23.3
1,46,0.02,23.3,23.3
1,47,0.02,23.4,23.4
1,48,0.02,23.4,23.4
1,49,0.02,23.5,23.5
1,50,0.02,23.6,23.6
1,51,0.02,23.6,23.6
1,52,0.02,23.7,23.7
1,53,0.02,23.8,23.8
1,54,0.02,23.8,23.8
1,55,0.02,23.9,23.9
1,56,0.02,24.0,24.0
1,57,0.02,24.1,24.1
1,58,0.02,24.2,24.2
1,59,0.02,24.2,24.2
1,60,0.02,24.3,24.3
1,61,0.02,24.4,24.4
1,62,0.02,24.5,24.5
1,63,0.02,24.6,24.6
1,64,0.02,24.7,24.7
1,65,0.02,24.8,24.8
1,66,0.02,24.9,24.9
1,67,0.02,25.0,25.0
1,68,0.02,25.1,25.1
1,69,0.02,25.2,25.2
1,70,0.02,25.3,25.3
1,71,0.02,25.5,25.5
1,72,0.02,25.6,25.6
1,73,0.02,25.7,25.7
1,74,0.02,25.8,25.8
1,75,0.02,26.0,26.0
1,76,0.02,26.1,26.1
1,77,0.02,26.2,26.2
1,78,0.01,26.4,26.4
1,79,0.02,26.5,26.5
1,80,0.02,26.7,26.7
1,81,0.02,26.8,26.8
1,82,0.02,27.0,27.0
1,83,0.02,27.1,27.1
1,84,0.02,27.2,27.2
1,85,0.01,27.4,27.4
1,86,0.01,27.6,27.6
1,87,0.01,27.7,27.7
1,88,0.02,27.9,27.9
1,89,0.02,28.1,28.1
1,90,0.02,28.2,28.2
1,91,0.02,28.4,28.4
1,92,0.02,28.6,28.6
1,93,0.02,28.8,28.8
1,94,0.02,29.0,29.0
1,95,0.02,29.1,29.1
1,96,0.02,29.3,29.3
1,97,0.02,29.5,29.5
1,98,0.02,29.7,29.7
1,99,0.02,29.9,29.9
1,100,0.02,30.1,30.1
1,101,0.02,30.3,30.3
1,102,0.02,30.5,30.5
1,103,0.02,30.7,30.7
1,104,0.02,30.9,30.9
1,105,0.02,31.1,31.1
1,106,0.02,31.3,31.3
1,107,0.01,31.6,31.6
1,108,0.02,31.8,31.8
1,109,0.02,32.0,32.0
1,110,0.02,32.2,32.2
1,111,0.02,32.5,32.5
1,112,0.02,32.7,32.7
1,113,0.02,33.0,33.0
1,114,0.02,33.2,33.2
1,115,0.02,33.4,33.4
1,116,0.01,33.7,33.7
1,117,0.01,34.0,34.0
1,118,0.01,34.2,34.2
1,119,0.02,34.5,34.5
1,120,0.01,34.7,34.7
1,121,0.02,35.0,35.0
1,122,0.02,35.2,35.2
1,123,0.02,35.5,35.5
1,124,0.02,35.8,35.8
1,125,0.02,36.1,36.1
1,126,0.01,36.3,36.3
1,127,0.02,36.6,36.6
1,128,0.02,36.9,36.9
1,129,0.02,37.2,37.2
1,130,0.02,37.4,37.4
1,131,0.02,37.7,37.7
1,132,0.02,38.0,38.0
1,133,0.02,38.3,38.3
1,134,0.02,38.6,38.6
1,135,0.02,38.9,38.9
1,136,0.02,39.2,39.2
1,137,0.01,39.5,39.5
1,138,0.02,39.8,39.8
1,139,0.02,40.1,40.1
1,140,0.02,40.4,40.4
1,141,0.02,40.7,40.7
1,142,0.02,41.0,41.0
1,143,0.02,41.3,41.3
1,144,0.02,41.7,41.7
1,145,0.02,42.0,42.0
1,146,0.02,42.3,42.3
1,147,0.02,42.6,42.6
1,148,0.02,43.0,43.0
1,149,0.02,43.3,43.3
1,150,0.01,43.6,43.6
1,151,0.02,43.9,43.9
1,152,0.02,44.3,44.3
1,153,0.02,44.6,44.6
1,154,0.02,45.0,45.0
1,155,0.02,45.3,45.3
1,156,0.02,45.6,45.6
1,157,0.02,46.0,46.0
1,158,0.02,46.3,46.3
1,159,0.02,46.7,46.7
1,160,0.02,47.0,47.0
1,161,0.02,47.3,47.3
1,162,0.02,47.7,47.7
1,163,0.02,48.1,48.1
1,164,0.02,48.4,48.4
1,165,0.02,48.8,48.8
1,166,0.02,49.1,49.1
1,167,0.02,49.5,49.5
1,168,0.02,49.9,49.9
1,169,0.02,50.2,50.2
1,170,0.02,50.6,50.6
1,171,0.02,50.9,50.9
1,172,0.02,51.3,51.3
1,173,0.02,51.7,51.7
1,174,0.02,52.0,52.0
1,175,0.02,52.4,52.4
1,176,0.02,52.8,52.8
1,177,0.02,53.1,53.1
1,178,0.02,53.2,53.2
1,179,0.02,53.3,53.3
1,180,0.02,54.0,54.0
1,181,0.02,54.6,54.6
1,182,0.02,55.0,55.0
1,183,0.02,55.4,55.4
1,184,0.02,55.8,55.8
1,185,0.02,56.2,56.2
1,186,0.02,56.6,56.6
1,187,0.02,57.0,57.0
1,188,0.02,57.4,57.4
1,189,0.02,57.8,57.8
1,190,0.02,58.2,58.2
1,191,0.02,58.5,58.5
1,192,0.02,58.9,58.9
1,193,0.02,59.3,59.3
1,194,0.02,59.7,59.7
1,195,0.01,60.1,60.1
1,196,0.02,60.5,60.5
1,197,0.02,60.9,60.9
1,198,0.02,61.3,61.3
1,199,0.02,61.7,61.7
1,200,0.02,62.1,62.1
1,201,0.02,62.5,62.5
1,202,0.02,62.9,62.9
1,203,0.02,63.3,63.3
1,204,0.02,63.7,63.7
1,205,0.02,64.1,64.1
1,206,0.01,64.5,64.5
1,207,0.01,64.9,64.9
1,208,0.02,65.3,65.3
1,209,0.02,65.7,65.7
1,210,0.02,66.1,66.1
1,211,0.02,66.5,66.5
1,212,0.02,66.9,66.9
1,213,0.02,67.3,67.3
1,214,0.02,67.8,67.8
1,215,0.02,68.1,68.1
1,216,0.01,68.6,68.6
2,217,-0.03,69.0,69.0
2,218,-0.08,69.4,69.4
2,219,-0.12,69.8,69.8
2,220,-0.17,70.1,70.1
2,221,-0.20,70.4,70.4
2,222,-0.22,70.7,70.7
2,223,-0.22,71.1,71.1
2,224,-0.22,71.5,71.5
2,225,-0.20,71.9,71.9
2,226,-0.18,72.4,72.4
2,227,-0.17,72.8,72.8
2,228,-0.17,73.2,73.2
2,229,-0.17,73.6,73.6
2,230,-0.17,74.0,74.0
2,231,-0.17,74.3,74.3
2,232,-0.16,74.6,74.6
2,233,-0.16,75.0,75.0
2,234,-0.16,75.3,75.3
2,235,-0.16,75.6,75.6
2,236,-0.16,75.9,75.9
2,237,-0.16,76.2,76.2
2,238,-0.16,76.5,76.5
2,239,-0.16,76.8,76.8
2,240,-0.16,77.1,77.1
2,241,-0.15,77.4,77.4
2,242,-0.15,77.7,77.7
2,243,-0.15,78.0,78.0
2,244,-0.15,78.3,78.3
2,245,-0.15,78.6,78.6
2,246,-0.15,78.9,78.9
2,247,-0.15,79.2,79.2
2,248,-0.15,79.5,79.5
2,249,-0.15,79.8,79.8
2,250,-0.15,80.1,80.1
11,251,-0.09,80.6,80.6
11,252,-0.06,80.7,80.7
11,253,-0.04,81.1,81.1
11,254,-0.06,81.5,81.5
11,255,-0.07,81.9,81.9
11,256,-0.07,82.3,82.3
11,257,-0.07,82.7,82.7
11,258,-0.07,83.2,83.2
11,259,-0.07,83.6,83.6
11,260,-0.07,84.0,84.0
11,261,-0.07,84.3,84.3
11,262,-0.07,84.8,84.8
11,263,-0.07,85.2,85.2
11,264,-0.07,85.6,85.6
11,265,-0.07,86.0,86.0
11,266,-0.07,86.4,86.4
11,267,-0.07,86.8,86.8
12,268,-0.07,87.2,87.2
Sterilization Not Complete
Error nr: 0
Error description: Aborted by user
Sterilisator,stop time: 24-01-17 11:19:49
