Sterilisator,counter: 00072
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 24-01-17 11:40:56
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,104.9,104.9
1,1,-0.01,104.9,104.9
1,2,-0.01,104.8,104.8
1,3,-0.01,104.8,104.8
1,4,-0.01,104.7,104.7
1,5,-0.01,104.7,104.7
1,6,-0.01,104.6,104.6
1,7,-0.01,104.6,104.6
1,8,-0.01,104.6,104.6
1,9,-0.01,104.5,104.5
1,10,-0.00,104.5,104.5
1,11,-0.01,104.5,104.5
1,12,-0.00,104.4,104.4
1,13,-0.00,104.4,104.4
1,14,-0.00,104.4,104.4
1,15,-0.00,104.4,104.4
1,16,-0.00,104.3,104.3
1,17,-0.00,104.3,104.3
1,18,-0.00,104.3,104.3
1,19,-0.00,104.3,104.3
1,20,-0.00,104.3,104.3
1,21,-0.00,104.2,104.2
1,22,0.00,104.2,104.2
1,23,-0.00,104.2,104.2
1,24,-0.00,104.2,104.2
1,25,0.00,104.2,104.2
1,26,0.00,104.2,104.2
1,27,0.00,104.2,104.2
1,28,0.00,104.2,104.2
1,29,0.00,104.2,104.2
1,30,0.00,104.2,104.2
1,31,0.00,104.2,104.2
1,32,0.00,104.2,104.2
1,33,0.00,104.2,104.2
1,34,0.00,104.2,104.2
1,35,0.00,104.2,104.2
1,36,0.01,104.3,104.3
1,37,0.01,104.3,104.3
1,38,0.01,104.3,104.3
1,39,0.01,104.3,104.3
1,40,0.01,104.3,104.3
1,41,0.01,104.4,104.4
1,42,0.01,104.4,104.4
1,43,0.01,104.4,104.4
1,44,0.01,104.4,104.4
1,45,0.01,104.5,104.5
1,46,0.01,104.5,104.5
1,47,0.01,104.5,104.5
1,48,0.01,104.6,104.6
1,49,0.01,104.6,104.6
2,50,-0.00,104.6,104.6
2,51,-0.06,104.7,104.7
2,52,-0.11,104.7,104.7
2,53,-0.16,104.7,104.7
2,54,-0.20,104.7,104.7
2,55,-0.24,104.6,104.6
2,56,-0.27,104.6,104.6
2,57,-0.30,104.6,104.6
2,58,-0.33,104.5,104.5
2,59,-0.37,104.4,104.4
2,60,-0.39,104.4,104.4
2,61,-0.42,104.4,104.4
2,62,-0.45,104.3,104.3
2,63,-0.47,104.3,104.3
2,64,-0.49,104.3,104.3
2,65,-0.51,104.3,104.3
2,66,-0.53,104.2,104.2
2,67,-0.55,104.2,104.2
2,68,-0.56,104.3,104.3
2,69,-0.58,104.3,104.3
2,70,-0.60,104.3,104.3
2,71,-0.61,104.3,104.3
2,72,-0.63,104.3,104.3
2,73,-0.64,104.4,104.4
2,74,-0.65,104.4,104.4
2,75,-0.67,104.5,104.5
2,76,-0.68,104.5,104.5
2,77,-0.69,104.6,104.6
2,78,-0.70,104.6,104.6
2,79,-0.71,104.7,104.7
2,80,-0.72,104.8,104.8
2,81,-0.73,104.8,104.8
2,82,-0.74,104.9,104.9
2,83,-0.75,105.0,105.0
2,84,-0.76,105.0,105.0
2,85,-0.76,105.1,105.1
2,86,-0.77,105.2,105.2
2,87,-0.77,105.3,105.3
2,88,-0.78,105.4,105.4
2,89,-0.79,105.5,105.5
2,90,-0.79,105.6,105.6
2,91,-0.80,105.6,105.6
3,92,-0.65,105.8,105.8
3,93,-0.17,105.9,105.9
3,94,-0.11,106.1,106.1
3,95,-0.09,106.4,106.4
3,96,-0.08,106.7,106.7
3,97,0.27,107.0,107.0
3,98,0.30,107.3,107.3
3,99,0.30,107.7,107.7
3,100,0.30,108.0,108.0
3,101,0.37,108.3,108.3
3,102,0.44,108.6,108.6
3,103,0.44,108.8,108.8
3,104,0.44,109.1,109.1
3,105,0.44,109.3,109.3
3,106,0.52,109.5,109.5
3,107,0.54,109.7,109.7
3,108,0.54,109.9,109.9
3,109,0.53,110.1,110.1
3,110,0.52,110.3,110.3
3,111,0.52,110.5,110.5
3,112,0.51,110.6,110.6
3,113,0.51,110.8,110.8
3,114,0.51,110.8,110.8
3,115,0.53,110.9,110.9
3,116,0.56,111.0,111.0
3,117,0.57,111.1,111.1
3,118,0.58,111.2,111.2
3,119,0.60,111.3,111.3
3,120,0.75,111.5,111.5
3,121,0.74,111.8,111.8
3,122,0.73,112.1,112.1
3,123,0.73,112.5,112.5
3,124,0.80,112.7,112.7
3,125,0.84,113.1,113.1
3,126,0.84,113.5,113.5
3,127,0.85,113.9,113.9
3,128,0.85,114.3,114.3
3,129,0.94,114.7,114.7
3,130,0.95,115.1,115.1
3,131,0.95,115.5,115.5
3,132,0.96,115.9,115.9
3,133,1.02,116.3,116.3
3,134,1.01,116.7,116.7
4,135,0.89,117.1,117.1
4,136,0.72,117.2,117.2
4,137,0.57,116.9,116.9
4,138,0.44,116.2,116.2
4,139,0.34,115.4,115.4
4,140,0.29,114.6,114.6
4,141,0.23,113.9,113.9
4,142,0.14,113.4,113.4
4,143,0.08,113.0,113.0
4,144,-0.06,112.6,112.6
4,145,-0.19,112.3,112.3
4,146,-0.26,112.1,112.1
4,147,-0.38,111.8,111.8
4,148,-0.47,111.6,111.6
4,149,-0.53,111.4,111.4
4,150,-0.58,111.1,111.1
4,151,-0.63,110.9,110.9
4,152,-0.67,110.8,110.8
4,153,-0.70,110.6,110.6
4,154,-0.72,110.5,110.5
4,155,-0.74,110.5,110.5
4,156,-0.76,110.4,110.4
4,157,-0.78,110.4,110.4
4,158,-0.79,110.4,110.4
5,159,-0.61,110.5,110.5
5,160,-0.52,110.6,110.6
5,161,-0.46,110.7,110.7
5,162,-0.42,111.0,111.0
5,163,-0.40,111.2,111.2
5,164,-0.38,111.5,111.5
5,165,-0.37,111.7,111.7
5,166,-0.35,111.8,111.8
5,167,-0.34,112.0,112.0
5,168,-0.33,112.1,112.1
5,169,-0.32,112.3,112.3
5,170,-0.31,112.4,112.4
5,171,-0.30,112.5,112.5
5,172,-0.29,112.6,112.6
5,173,-0.28,112.6,112.6
5,174,-0.28,112.7,112.7
5,175,-0.27,112.8,112.8
5,176,-0.26,112.8,112.8
5,177,-0.25,112.9,112.9
5,178,-0.25,112.9,112.9
5,179,-0.24,113.0,113.0
5,180,-0.24,113.1,113.1
5,181,-0.23,113.1,113.1
5,182,-0.23,113.2,113.2
5,183,-0.22,113.2,113.2
5,184,-0.22,113.3,113.3
5,185,-0.22,113.4,113.4
5,186,-0.21,113.4,113.4
5,187,-0.21,113.5,113.5
5,188,-0.21,113.5,113.5
5,189,-0.17,113.6,113.6
5,190,-0.17,113.7,113.7
5,191,-0.16,113.7,113.7
5,192,-0.16,113.8,113.8
5,193,-0.16,113.8,113.8
5,194,-0.16,113.9,113.9
5,195,-0.16,114.0,114.0
5,196,-0.16,114.1,114.1
5,197,-0.16,114.1,114.1
5,198,-0.16,114.2,114.2
5,199,-0.16,114.3,114.3
5,200,-0.15,114.4,114.4
5,201,-0.15,114.4,114.4
5,202,-0.15,114.5,114.5
5,203,-0.15,114.6,114.6
5,204,-0.15,114.6,114.6
5,205,-0.15,114.7,114.7
5,206,-0.14,114.7,114.7
5,207,-0.14,114.8,114.8
5,208,-0.15,114.8,114.8
5,209,-0.14,114.9,114.9
5,210,-0.14,115.0,115.0
5,211,-0.14,115.0,115.0
5,212,-0.14,115.1,115.1
5,213,-0.14,115.2,115.2
5,214,-0.13,115.2,115.2
5,215,-0.14,115.3,115.3
5,216,-0.13,115.3,115.3
5,217,-0.13,115.4,115.4
5,218,-0.13,115.4,115.4
5,219,-0.13,115.5,115.5
5,220,-0.12,115.5,115.5
5,221,-0.12,115.6,115.6
5,222,-0.12,115.6,115.6
5,223,-0.12,115.7,115.7
5,224,-0.12,115.7,115.7
5,225,-0.12,115.7,115.7
5,226,-0.12,115.8,115.8
5,227,-0.11,115.8,115.8
5,228,-0.11,115.8,115.8
5,229,-0.11,115.8,115.8
5,230,-0.11,115.8,115.8
5,231,-0.11,115.8,115.8
5,232,-0.11,115.8,115.8
5,233,-0.11,115.9,115.9
5,234,-0.10,115.9,115.9
5,235,-0.11,115.9,115.9
5,236,-0.10,115.9,115.9
5,237,-0.10,116.0,116.0
5,238,-0.10,116.1,116.1
5,239,-0.10,116.1,116.1
5,240,-0.10,116.2,116.2
5,241,-0.10,116.3,116.3
5,242,-0.10,116.3,116.3
5,243,-0.10,116.4,116.4
5,244,-0.10,116.5,116.5
5,245,-0.09,116.5,116.5
5,246,-0.09,116.6,116.6
5,247,-0.09,116.6,116.6
5,248,-0.09,116.7,116.7
5,249,-0.09,116.7,116.7
5,250,-0.09,116.7,116.7
5,251,-0.08,116.8,116.8
5,252,-0.09,116.8,116.8
5,253,-0.09,116.8,116.8
5,254,-0.08,116.8,116.8
5,255,-0.08,116.9,116.9
5,256,-0.08,116.9,116.9
5,257,-0.08,116.9,116.9
5,258,-0.08,117.0,117.0
5,259,-0.08,117.0,117.0
5,260,-0.07,117.0,117.0
5,261,-0.07,117.0,117.0
5,262,-0.07,117.0,117.0
5,263,-0.07,117.1,117.1
5,264,-0.07,117.1,117.1
5,265,-0.07,117.1,117.1
5,266,-0.07,117.1,117.1
5,267,-0.06,117.1,117.1
5,268,-0.06,117.2,117.2
5,269,-0.06,117.2,117.2
5,270,-0.06,117.2,117.2
5,271,-0.06,117.2,117.2
5,272,-0.06,117.2,117.2
5,273,-0.06,117.3,117.3
5,274,-0.06,117.3,117.3
5,275,-0.06,117.3,117.3
5,276,-0.06,117.3,117.3
5,277,-0.05,117.3,117.3
5,278,-0.05,117.3,117.3
5,279,-0.05,117.3,117.3
5,280,-0.05,117.4,117.4
5,281,-0.05,117.4,117.4
5,282,-0.05,117.4,117.4
5,283,-0.05,117.4,117.4
5,284,-0.05,117.4,117.4
5,285,-0.05,117.4,117.4
5,286,-0.05,117.4,117.4
5,287,-0.04,117.5,117.5
