Sterilisator,counter: 00071
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 24-01-17 11:22:45
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,-0.00,118.1,118.1
1,1,-0.01,118.1,118.1
1,2,-0.01,118.2,118.2
2,3,-0.05,118.2,118.2
2,4,-0.11,118.2,118.2
2,5,-0.16,118.2,118.2
2,6,-0.20,118.2,118.2
2,7,-0.22,118.1,118.1
2,8,-0.23,118.0,118.0
2,9,-0.24,117.9,117.9
2,10,-0.26,117.8,117.8
2,11,-0.27,117.8,117.8
2,12,-0.30,117.7,117.7
2,13,-0.33,117.6,117.6
2,14,-0.37,117.6,117.6
2,15,-0.40,117.5,117.5
2,16,-0.43,117.4,117.4
2,17,-0.46,117.3,117.3
2,18,-0.48,117.2,117.2
2,19,-0.51,117.1,117.1
2,20,-0.53,117.1,117.1
2,21,-0.55,117.0,117.0
2,22,-0.57,117.0,117.0
2,23,-0.60,117.0,117.0
2,24,-0.61,116.9,116.9
2,25,-0.63,116.9,116.9
2,26,-0.64,116.9,116.9
2,27,-0.66,116.9,116.9
2,28,-0.68,116.9,116.9
2,29,-0.69,116.9,116.9
2,30,-0.70,116.9,116.9
2,31,-0.72,116.9,116.9
2,32,-0.73,116.9,116.9
2,33,-0.74,117.0,117.0
2,34,-0.75,117.0,117.0
2,35,-0.76,117.0,117.0
2,36,-0.77,117.1,117.1
2,37,-0.78,117.1,117.1
2,38,-0.79,117.1,117.1
2,39,-0.80,117.2,117.2
3,40,-0.78,117.2,117.2
3,41,-0.37,117.3,117.3
3,42,-0.24,117.4,117.4
3,43,-0.17,117.6,117.6
3,44,-0.15,117.8,117.8
3,45,0.46,118.1,118.1
3,46,0.61,118.3,118.3
3,47,0.60,118.6,118.6
3,48,0.60,118.9,118.9
3,49,0.72,119.2,119.2
3,50,1.02,119.4,119.4
3,51,1.02,119.7,119.7
4,52,0.85,120.0,120.0
4,53,0.70,120.2,120.2
4,54,0.56,120.3,120.3
4,55,0.45,120.3,120.3
4,56,0.32,120.3,120.3
4,57,0.21,120.1,120.1
4,58,0.12,119.9,119.9
4,59,0.04,119.7,119.7
4,60,-0.09,119.4,119.4
4,61,-0.21,119.1,119.1
4,62,-0.33,118.8,118.8
4,63,-0.42,118.5,118.5
4,64,-0.51,118.2,118.2
4,65,-0.56,117.8,117.8
4,66,-0.62,117.5,117.5
4,67,-0.66,117.2,117.2
4,68,-0.70,116.9,116.9
4,69,-0.72,116.7,116.7
4,70,-0.75,116.4,116.4
4,71,-0.76,116.1,116.1
4,72,-0.78,116.0,116.0
4,73,-0.79,115.9,115.9
5,74,-0.79,115.9,115.9
5,75,-0.03,115.9,115.9
5,76,-0.03,115.9,115.9
5,77,-0.06,116.2,116.2
5,78,-0.07,116.5,116.5
5,79,0.22,116.7,116.7
5,80,0.50,116.9,116.9
5,81,0.49,117.2,117.2
5,82,0.47,117.5,117.5
5,83,0.45,117.7,117.7
5,84,0.79,118.0,118.0
5,85,0.77,118.3,118.3
5,86,0.75,118.6,118.6
5,87,0.73,118.8,118.8
5,88,0.82,119.0,119.0
5,89,0.99,119.3,119.3
5,90,0.95,119.6,119.6
6,91,0.88,119.9,119.9
6,92,0.77,120.1,120.1
6,93,0.66,120.3,120.3
6,94,0.56,120.3,120.3
6,95,0.45,120.2,120.2
6,96,0.36,120.1,120.1
6,97,0.27,119.9,119.9
6,98,0.20,119.7,119.7
6,99,0.14,119.5,119.5
6,100,0.08,119.2,119.2
6,101,-0.02,119.0,119.0
6,102,-0.14,118.7,118.7
6,103,-0.25,118.4,118.4
6,104,-0.32,118.1,118.1
6,105,-0.37,117.8,117.8
6,106,-0.44,117.6,117.6
6,107,-0.49,117.3,117.3
6,108,-0.53,117.1,117.1
6,109,-0.58,116.9,116.9
6,110,-0.63,116.7,116.7
6,111,-0.66,116.4,116.4
6,112,-0.68,116.2,116.2
6,113,-0.71,116.0,116.0
6,114,-0.73,115.9,115.9
6,115,-0.74,115.9,115.9
6,116,-0.76,115.8,115.8
6,117,-0.77,115.8,115.8
6,118,-0.78,115.8,115.8
6,119,-0.79,115.8,115.8
7,120,-0.60,115.8,115.8
7,121,-0.03,115.8,115.8
7,122,-0.10,116.0,116.0
