Sterilisator,counter: 00057
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 17-01-17 12:59:54
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.00,96.3,96.3
1,1,-0.01,96.3,96.3
1,2,-0.01,96.2,96.2
1,3,-0.00,96.2,96.2
1,4,-0.01,96.2,96.2
1,5,-0.00,96.2,96.2
1,6,-0.00,96.2,96.2
1,7,-0.01,96.1,96.1
1,8,-0.00,96.1,96.1
1,9,-0.00,96.1,96.1
1,10,-0.00,96.1,96.1
1,11,-0.00,96.1,96.1
1,12,-0.00,96.1,96.1
1,13,-0.00,96.0,96.0
1,14,-0.00,96.0,96.0
1,15,-0.00,96.0,96.0
1,16,-0.00,96.0,96.0
1,17,-0.00,96.0,96.0
1,18,-0.00,96.0,96.0
1,19,-0.00,96.0,96.0
1,20,0.00,96.0,96.0
1,21,0.00,96.0,96.0
1,22,0.00,95.9,95.9
1,23,0.00,95.9,95.9
1,24,0.00,95.9,95.9
1,25,0.00,95.9,95.9
1,26,0.00,95.9,95.9
1,27,0.00,95.9,95.9
1,28,0.00,95.9,95.9
1,29,0.00,96.0,96.0
1,30,0.01,96.0,96.0
1,31,0.01,96.0,96.0
1,32,0.00,96.0,96.0
1,33,0.01,96.0,96.0
1,34,0.01,96.0,96.0
1,35,0.01,96.0,96.0
1,36,0.01,96.1,96.1
1,37,0.01,96.1,96.1
1,38,0.01,96.1,96.1
1,39,0.01,96.1,96.1
1,40,0.01,96.1,96.1
1,41,0.01,96.2,96.2
1,42,0.01,96.2,96.2
1,43,0.01,96.2,96.2
1,44,0.01,96.3,96.3
1,45,0.01,96.3,96.3
1,46,0.01,96.4,96.4
1,47,0.01,96.4,96.4
1,48,0.01,96.5,96.5
1,49,0.01,96.5,96.5
1,50,0.01,96.6,96.6
1,51,0.01,96.6,96.6
1,52,0.01,96.7,96.7
1,53,0.01,96.7,96.7
1,54,0.01,96.8,96.8
1,55,0.01,96.9,96.9
1,56,0.01,96.9,96.9
1,57,0.01,97.0,97.0
1,58,0.01,97.1,97.1
1,59,0.01,97.2,97.2
1,60,0.01,97.2,97.2
1,61,0.01,97.3,97.3
1,62,0.01,97.4,97.4
1,63,0.01,97.5,97.5
1,64,0.01,97.6,97.6
1,65,0.01,97.7,97.7
1,66,0.01,97.8,97.8
2,67,0.00,97.9,97.9
2,68,-0.07,98.0,98.0
2,69,-0.13,98.1,98.1
2,70,-0.18,98.1,98.1
2,71,-0.22,98.2,98.2
2,72,-0.26,98.3,98.3
2,73,-0.30,98.3,98.3
2,74,-0.34,98.3,98.3
2,75,-0.37,98.4,98.4
2,76,-0.40,98.4,98.4
2,77,-0.44,98.4,98.4
2,78,-0.47,98.5,98.5
