Sterilisator,counter: 00063
Sterilisator,model: Steamjet ST1
Sterilisator,serial: ST1-5036
Sterilisator,firmware: 14.6
Sterilisator,start time: 17-01-17 14:32:28
Sterilisator,type: 134
phase, time [sec], presure [Bar], temperature [°C], temperaturecalc [°C]
0,0,0.02,115.8,115.8
1,1,0.00,115.8,115.8
1,2,0.00,115.8,115.8
1,3,0.00,115.8,115.8
1,4,0.00,115.8,115.8
1,5,0.00,115.8,115.8
1,6,0.00,115.8,115.8
1,7,0.00,115.7,115.7
1,8,0.00,115.7,115.7
1,9,0.00,115.7,115.7
1,10,0.00,115.7,115.7
1,11,0.00,115.6,115.6
1,12,0.01,115.6,115.6
1,13,0.01,115.6,115.6
1,14,0.00,115.5,115.5
1,15,0.00,115.5,115.5
1,16,0.01,115.5,115.5
1,17,0.01,115.4,115.4
1,18,0.01,115.4,115.4
1,19,0.01,115.4,115.4
1,20,0.01,115.3,115.3
1,21,0.01,115.3,115.3
1,22,0.01,115.3,115.3
1,23,0.01,115.3,115.3
1,24,0.01,115.2,115.2
1,25,0.01,115.2,115.2
1,26,0.01,115.2,115.2
1,27,0.01,115.2,115.2
1,28,0.01,115.2,115.2
1,29,0.01,115.2,115.2
1,30,0.01,115.2,115.2
1,31,0.01,115.2,115.2
1,32,0.01,115.2,115.2
1,33,0.01,115.2,115.2
1,34,0.01,115.2,115.2
2,35,-0.04,115.2,115.2
2,36,-0.10,115.2,115.2
2,37,-0.12,115.1,115.1
2,38,-0.17,115.1,115.1
2,39,-0.21,115.1,115.1
2,40,-0.25,115.0,115.0
2,41,-0.29,114.9,114.9
2,42,-0.32,114.9,114.9
2,43,-0.36,114.8,114.8
2,44,-0.39,114.7,114.7
2,45,-0.41,114.7,114.7
2,46,-0.44,114.6,114.6
2,47,-0.47,114.5,114.5
2,48,-0.49,114.5,114.5
2,49,-0.51,114.4,114.4
2,50,-0.53,114.4,114.4
2,51,-0.55,114.3,114.3
2,52,-0.57,114.3,114.3
2,53,-0.59,114.3,114.3
2,54,-0.60,114.3,114.3
2,55,-0.62,114.2,114.2
2,56,-0.63,114.3,114.3
2,57,-0.64,114.3,114.3
2,58,-0.65,114.3,114.3
2,59,-0.66,114.3,114.3
2,60,-0.67,114.3,114.3
2,61,-0.68,114.4,114.4
2,62,-0.69,114.4,114.4
2,63,-0.70,114.4,114.4
2,64,-0.71,114.5,114.5
2,65,-0.71,114.5,114.5
2,66,-0.72,114.6,114.6
2,67,-0.73,114.6,114.6
2,68,-0.74,114.7,114.7
2,69,-0.74,114.7,114.7
2,70,-0.75,114.8,114.8
2,71,-0.75,114.8,114.8
2,72,-0.76,114.9,114.9
2,73,-0.76,114.9,114.9
2,74,-0.76,115.0,115.0
2,75,-0.77,115.1,115.1
2,76,-0.77,115.1,115.1
2,77,-0.78,115.2,115.2
2,78,-0.78,115.3,115.3
2,79,-0.78,115.3,115.3
2,80,-0.78,115.4,115.4
2,81,-0.79,115.5,115.5
2,82,-0.79,115.5,115.5
2,83,-0.79,115.6,115.6
2,84,-0.79,115.6,115.6
2,85,-0.80,115.7,115.7
3,86,-0.79,115.7,115.7
3,87,-0.36,115.8,115.8
3,88,-0.17,115.8,115.8
3,89,-0.11,116.1,116.1
3,90,-0.09,116.5,116.5
3,91,0.74,116.8,116.8
3,92,0.96,117.3,117.3
3,93,0.94,117.8,117.8
3,94,0.95,118.3,118.3
3,95,1.05,118.7,118.7
3,96,1.04,119.2,119.2
4,97,0.93,119.6,119.6
4,98,0.70,119.8,119.8
4,99,0.49,120.0,120.0
4,100,0.33,120.0,120.0
4,101,0.21,119.9,119.9
4,102,0.10,119.7,119.7
4,103,-0.05,119.5,119.5
4,104,-0.18,119.2,119.2
4,105,-0.30,118.9,118.9
4,106,-0.38,118.7,118.7
4,107,-0.47,118.4,118.4
4,108,-0.53,118.1,118.1
4,109,-0.58,117.9,117.9
4,110,-0.62,117.7,117.7
4,111,-0.65,117.5,117.5
